Item No.;Item Description;VatGourpSa;VatGroupPu
AAU02.MDF.001;AUS FROZEN TENDERLOIN MIDFIELD;PPNK_08;PPNM_08
AAU02.MDF.002;AUS FROZEN RIBEYE MIDFIELD;PPNK_08;PPNM_08
AAU02.MDF.003;AUS FROZEN STRIPLOIN MIDFIELD;PPNK_08;PPNM_08
AAU1AAC001;AUS CHL WAG STRIPLOIN F1 MB 2-3;PPNK_08;PPNM_08
AAU1AAC002;AUS CHL WAG F1 TENDERLOIN MB 2-3;PPNK_08;PPNM_08
AAU1AAC003;AUS CHL WAG F1 STRIPLOIN MB 5;PPNK_08;PPNM_08
AAU1AAC004;AUS CHL WAG AA4 STRIPLOIN 1 RIB;PPNK_08;PPNM_08
AAU1AAC005;AUS CHL WAG ER 95CL;PPNK_08;PPNM_08
AAU1AAC006;AUS CHL WAG CER 90CL;PPNK_08;PPNM_08
AAU1AAC007;AUS CHL WAG CT 90CL;PPNK_08;PPNM_08
AAU1AAC008;AUS CHL WAG OB 90CL;PPNK_08;PPNM_08
AAU1AAC009;AUS CHL WAG ISK 95CL;PPNK_08;PPNM_08
AAU1AAC010;AUS CHL GF YP 1824 STRIPLOIN MSA 4.5KG UP;PPNK_08;PPNM_08
AAU1AAC011;AUS CHL GF YG 1824 RIBEYE 7 RIBS MSA 3.2-4.5KG;PPNK_08;PPNM_08
AAU1AAC012;AUS CHL GF YG 1824 STRIPLOIN 1 RIBS MSA 4.5KG UP;PPNK_08;PPNM_08
AAU1AAC013;AUS CHL GF YP RIBEYE 7 RIBS 1824 MSA 3.2-4.5KG;PPNK_08;PPNM_08
AAU1AAC014;AUS CHL GF S 1824 TENDERLOIN SS/OFF;PPNK_08;PPNM_08
AAU1AAC015;AUS CHL WAG S TENDERLOIN AA7;PPNK_08;PPNM_08
AAU1AAC016;AUS CHL WAG S GF F1 TENDERLOIN MB 2-3;PPNK_08;PPNM_08
AAU1AAC017;AUS CHL GF YG 1824 TENDERLOIN SS/OFF MSA 1.8KG UP;PPNK_08;PPNM_08
AAU1AAC018;AUS CHL GF S 1824 STRIPLOIN 1 RIBS;PPNK_08;PPNM_08
AAU1AAC019;AUS CHL WAG S F1 TENDERLOIN AA9;PPNK_08;PPNM_08
AAU1AAC020;AUS CHL GF YG 1824 RIBEYE 7 RIBS MSA 4.5KG UP;PPNK_08;PPNM_08
AAU1AAC021;AUS CHL GF YP 1824 TENDERLOIN SS/OFF MSA 1.8 KG UP;PPNK_08;PPNM_08
AAU1AAC022;AUS CHL YP GF 1824 2243 RIBEYE 7 RIB MSA 4.5KG UP;PPNK_08;PPNM_08
AAU1AAC023;AUS CHL WAG TENDERLOIN AA5;PPNK_08;PPNM_08
AAU1AAC024;AUS CHL A 2160 TENDERLOIN SS/OFF;PPNK_08;PPNM_08
AAU1AAC025;AUS CHL WAG RIBEYE MB 8;PPNK_08;PPNM_08
AAU1AAC026;AUS CHL WAG STRIPLOIN MB 8;PPNK_08;PPNM_08
AAU1AAC027;AUS CHL WAG RIBEYE MB 9;PPNK_08;PPNM_08
AAU1AAC028;AUS CHL WAG TENDERLOIN SS/OFF MB 6;PPNK_08;PPNM_08
AAU1AAC029;AUS CHL WAG TENDERLOIN SS/OFF MB 8;PPNK_08;PPNM_08
AAU1AAC030;AUS CHL WAG RIBEYE 7 RIB MB 6;PPNK_08;PPNM_08
AAU1AAC031;AUS CHL WAG STRIPLOIN MB 6;PPNK_08;PPNM_08
AAU1AAC032;AUS CHL WAG RIBEYE 7 RIB MB 5;PPNK_08;PPNM_08
AAU1AAC033;AUS CHL WAG RIBEYE 7 RIB MB 7;PPNK_08;PPNM_08
AAU1AAC034;AUS CHL WAG STRIPLOIN MB 9;PPNK_08;PPNM_08
AAU1AAC035;AUS CHL WAG STRIPLOIN MB 11;PPNK_08;PPNM_08
AAU1AAC036;AUS CHL WAG TENDERLOIN MB 9;PPNK_08;PPNM_08
AAU1AMG001;AUS CHL YP 2091 RUMP CAP;PPNK_08;PPNM_08
AAU1AMG002;AUS CHILLED STRIPLOIN 2142 1 RIB;PPNK_08;PPNM_08
AAU1AMH001;AUS CHL S CHUCK CREST IW VAC;PPNK_08;PPNM_08
AAU1AMH002;AUS CHL S RUMP CAP IW VAC;PPNK_08;PPNM_08
AAU1AMH003;AUS CHL A 2142 STRIPLOIN 1 RIB 3.6 KG UP;PPNK_08;PPNM_08
AAU1AMH004;AUS CHL 2243 RIBEYE 2.2 - 3.1 KG;PPNK_08;PPNM_08
AAU1AMH005;AUS CHL 2243 RIBEYE 3.1KG UP;PPNK_08;PPNM_08
AAU1AMH006;AUS CHL GF WAG RIBEYE 7 RIBS IW VAC MS 8;PPNK_08;PPNM_08
AAU1AMH007;AUS CHL GF WAG STRIPLOIN 1 RIB IW VAC MS 5;PPNK_08;PPNM_08
AAU1AMH008;AUS CHL PR GF 2142 STRIPLOIN 1 RIB;PPNK_08;PPNM_08
AAU1AND001;AUS CHL WAG TOPSIDE MB 9;PPNK_08;PPNM_08
AAU1AND002;AUS CHL WAG T TRIMMING 85CL;PPNK_08;PPNM_08
AAU1BOR001;AUS CHL GF S 2142 STRIPLOIN;PPNK_08;PPNM_08
AAU1BOR002;AUS CHL S 2091 RUMP CAP (PICANHA);PPNK_08;PPNM_08
AAU1BOR003;AUS CHL PR 1601 OP RIBS;PPNK_08;PPNM_08
AAU1BOR004;AUS CHL S GF 1552 SHORTLOIN;PPNK_08;PPNM_08
AAU1BOR005;AUS CHL WAG TENDERLOIN MB 4-5;PPNK_08;PPNM_08
AAU1BOR006;AUS CHL WAG STRIPLOIN MB2+ GRASS-FED;PPNK_08;PPNM_08
AAU1BOR007;AUS CHL WAG RIBEYE MB2+ GRASS-FED;PPNK_08;PPNM_08
AAU1BOR008;AUS CHL WAG TENDERLOIN SS/OFF MB2+ GRASS-FED;PPNK_08;PPNM_08
AAU1BOR009;AUS CHL WAG D RUMP MB2+ GRASS-FED;PPNK_08;PPNM_08
AAU1CSW001;AUS CHL GF BA TENDERLOIN MB 2;PPNK_08;PPNM_08
AAU1CSW002;AUS CHL GF BA STRIPLOIN MB 2;PPNK_08;PPNM_08
AAU1CSW003;AUS CHL GF BA TENDERLOIN MB 3;PPNK_08;PPNM_08
AAU1CSW005;AUS CHL GF BA RIBEYE MB 3;PPNK_08;PPNM_08
AAU1CSW006;AUS CHL GF BA STRIPLOIN MB 3+;PPNK_08;PPNM_08
